Need Title,Category Label,Page Summary,Related Strategies,Related Faux Feelings,Slug Override,Related Feelings,Claim Summary,Claim Narrative,Source Links
Calm,Beauty/Peace/Play,,"Go on walk,Listen to music,Grain Trace,Corner Count,Exit Count,Align x3,Shadow Line,Window Quarter,Seat Press",Hassled,calm,"Irritated,Distressed,Angry,Frightened","Recovery states can allow learning, immune function, and executive control to rebound after stress. This need may motivate reducing stimulation, pacing demands, and building rhythmic routines. Restoring calm supports regulation and higher-order thinking.","Periods of calm and recovery are essential for the brain and body to bounce back after stress. Research suggests that during calm, low-arousal states, processes like memory consolidation, immune system activity, and top-down cognitive control (executive functions) get a chance to recuperate (see e.g. Frontiers in Psychology review on stress recovery and cognitive performance). The need for calm may drive us to dial down excessive stimulation, manage our workload, and establish soothing routines or rhythms in daily life. By restoring a state of calm, we improve our emotional self-regulation and allow higher-order thinking (like problem-solving and impulse control) to function more effectively. In short, regularly seeking calm moments helps counteract stress and supports better learning and decision-making.","- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6438088/ (review on stress recovery and its effects on cognitive function and health)
- https://www.apa.org/news/press/releases/2016/07/chronic-stress (APA press release: chronic stress impairs executive function; recovery improves regulation)"
Participation,Meaning/Contribution,,"Play a social video game,Call a friend,Try Meetup","Ignored,Neglected",participation,"Lonely,Scared,Hurt,Sad,Embarrassed","Active involvement can increase commitment and quality of outcomes. This need may motivate joining deliberations, sharing responsibility, and contributing skills. Participation distributes ownership and builds durable solutions.","People need to actively participate in processes that affect them – when they do, they care more about the outcome and the outcomes themselves tend to improve. This need for participation manifests as wanting a seat at the table in discussions, a share in the decision-making or responsibility, and a chance to apply one’s skills to collective efforts. Research in organizational and community psychology finds that when individuals are genuinely involved in planning and decision processes, they feel a sense of ownership that increases their commitment to carrying out the decisions. Moreover, their input often improves the quality of the solutions, because it taps a wider pool of knowledge and perspectives. By spreading participation across members of a group, “ownership” of both problems and solutions is distributed – people are more likely to support and sustain a solution they helped create. Thus, fostering participation not only empowers individuals but also leads to more robust, lasting outcomes for the whole group.",- https://cdn.who.int/media/docs/default-source/hgf/9789240027794.pdf?download=true (study on participative decision-making in organizations: higher employee participation leads to stronger commitment and better implementation of decisions)
To be heard,Empathy/Understanding,,"Play an instrument,Write,View previous things you've written or made,Make art,Play a video game,Sing,Read a poem you like aloud","Interrupted,Invisible,Misunderstood,Unseen",to-be-heard,"Angry,Frustrated,Resentful,Hurt,Sad,Lonely,Scared,Upset,Anxious","Being accurately understood can improve regulation and coordination. This need may motivate precise articulation and practices of attentive listening. When people are heard, collaboration and goodwill tend to rise.","People have a deep need for their voice to matter – that is, when they express themselves, they need others to truly listen and understand. When someone feels heard, it dramatically improves their emotional state (it’s calming and validating) and makes working together much easier (because misunderstandings are reduced). This need to be heard may drive us to communicate as clearly as we can and also to set up norms of good listening in our relationships or teams (for example, not interrupting, reflecting back what was said). Research suggests that in couples, teams, or negotiations, if each party feels the other genuinely understands their point of view, they reach solutions faster and with more goodwill. In practical terms: ensuring people are heard – perhaps by repeating their points for clarity or giving everyone the floor in meetings – boosts collaboration, as individuals no longer need to fight for acknowledgment and instead focus on problem-solving. In short, being heard makes people more willing to contribute and cooperate, as they know their input isn’t falling on deaf ears.","- https://pmc.ncbi.nlm.nih.gov/articles/PMC4504783/ (longitudinal study: perceiving a partner as responsive predicted healthier diurnal cortisol (lower stress) years later)
- https://hbr.org/2016/07/what-great-listeners-actually-do (HBR article summarizing research: truly hearing employees or partners increases trust, conflict resolution, and cooperation)"
Equality,Empathy/Understanding,,Write a letter,"Intimidated,Manipulated,Overpowered,Patronized,Trampled,Used",equality,"Scared,Anxiety,Angry,Powerless,Thwarted,Frustrated,Impotent,Helpless,Confused,Resentful,Overwhelmed,Sad","Fair access and voice can improve cooperation and reduce conflict in groups. This need may motivate rebalancing opportunities, adjusting procedures, and monitoring outcomes. Valuing equality builds psychological safety and legitimacy.","When group members are treated equitably – meaning everyone has a fair chance to participate and benefit – the group tends to function with less conflict and more collaboration. The need for equality may drive efforts to even out imbalances: for instance, ensuring everyone’s voice is heard, adjusting rules or resource allocation to be fair, and keeping an eye on outcomes to catch inequalities. Studies on procedural justice show that when people perceive a process as fair and inclusive (everyone gets a say), they are more likely to cooperate and accept group decisions, and less likely to feel resentful. Moreover, environments that value equality and inclusion help create psychological safety – members feel safe to express themselves without fear, which further improves team innovation and trust. Ultimately, emphasizing equality not only enhances the legitimacy of leadership or decisions (because they’re seen as fair) but also fosters a climate where individuals feel respected and united, reducing friction and enabling better group performance.","- https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01306/full (research on procedural justice showing equal voice increases cooperation and reduces conflict)
- https://www.annualreviews.org/content/journals/10.1146/annurev-orgpsych-031921-024406 (Annual Review article on workplace self-reflection guiding psychological safety practices)"
Empowerment,Autonomy/Freedom,,"Listen to music,Sing,Stand Largely","Intimidated,Manipulated,Trampled,Victimized",empowerment,"Scared,Anxiety,Angry,Powerless,Thwarted,Frustrated,Overwhelmed,Frightened,Helpless","Efficacy and access to resources can increase resilience and health outcomes. This need may motivate skill-building, shared decision-making, and removing needless barriers. Empowerment expands what is possible for individuals and systems.","Feeling empowered – that is, being capable and having the means to influence one’s circumstances – tends to make people more resilient and improves their life outcomes, including health. This need for empowerment may drive efforts like developing one’s skills, participating in decisions that affect oneself (instead of being a passive recipient), and knocking down unnecessary obstacles that limit people’s agency. Public health and community research has shown that when individuals or groups are empowered (given knowledge, resources, and a voice), they often experience better well-being and can cope with challenges more effectively. In essence, empowerment broadens the realm of possibilities – it enables both individuals and communities to achieve more because they have the confidence and capacity to act on their goals. For example, an empowered patient manages their illness better, and an empowered community finds local solutions to problems, each leading to healthier, more positive outcomes.","- https://applications.emro.who.int/docs/Health-systems-governance-eng.pdf (WHO report by N. Wallerstein, 2006 – evidence that empowerment initiatives lead to better health and social outcomes)
- https://cdn.who.int/media/docs/default-source/universal-health-coverage/who-uhl-technical-brief-socialparticipation.pdf?download=true (study linking patient empowerment with improved health management and resilience)"
Consistency,Autonomy/Freedom,,Schedule your day,Let down,consistency,"Sad,Disappointment,Frightened","Predictable patterns can free attention for creativity and problem solving. This need may motivate establishing routines, standards, and stable cues. Consistency provides a dependable platform for growth.","When certain aspects of life or work are consistent and predictable, our minds are freed up to focus on higher-level tasks like creative thinking or complex problem-solving. This need for consistency may lead people to create routines, set standards, and use stable signals or processes in their environment. For example, a consistent daily schedule or a standard method for tasks can reduce uncertainty and mental effort, leaving more brainpower for innovation. Psychological research supports this: having predictable frameworks (and fewer random surprises) lowers stress and mistakes, providing a solid platform from which individuals or teams can safely experiment and grow (see research on routine and creativity showing that structured time encourages more creative output once the basics are handled). In essence, consistency in key areas offers dependability, which then nurtures confidence to explore and develop in new areas.","- https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00928/full (evidence that structured routines reduce cognitive load and errors, enabling more creative work)
- https://psycnet.apa.org/record/2002-15408-004 (research on how environmental consistency and predictable structure benefit learning and innovation)"
Genuineness,Authenticity,,Listen to music,Manipulated,genuineness,"Angry,Scared,Powerless,Thwarted,Frustrated","Straightforward signaling can prevent confusion and build credibility. This need may motivate honest disclosure, consistency between words and actions, and corrective feedback. Genuineness maintains clear, dependable relationships.","Being genuine means communicating in a straightforward, truthful way and ensuring our actions match our words. This clarity in signaling one’s intentions or feelings greatly reduces confusion in relationships and helps others know they can trust what we say. The need for genuineness may drive us to be honest and transparent, to strive for alignment between what we profess and what we actually do, and to give or seek candid feedback when things don’t match up. Research on trust formation confirms that people who are perceived as straight shooters (no hidden agenda, no deceit) earn more credibility and maintain stronger relationships. In contrast, if someone’s words and actions diverge frequently, it creates doubt and misunderstanding. Therefore, practicing genuineness keeps relationships clear and dependable – everyone knows where they stand with each other.","- https://doi.org/10.1037/cou0000283 (study indicating that straightforward, sincere communication builds interpersonal credibility and trust)
- https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072227 (European Societies article on narrative construction of European identity)"
Mattering,Love/Caring,,"Play a video game,No Man's Sky,Sing",Neglected,mattering,"Lonely,Scared,Jealous","Feeling significant to others may predict well-being and engagement. This need may motivate meaningful roles, feedback about impact, and participation where presence counts. Centering mattering reinforces purpose for both individuals and groups.","Mattering” refers to feeling that you truly matter to other people – that you are noticed, cared about, and valued by them. Research suggests that when individuals feel they matter to others, they experience better mental health and are more engaged and motivated in their daily lives. This need to feel significant may drive people to seek roles or tasks that are meaningful and valued by their group, to look for feedback that their contributions have an impact, and to get involved in faux feelings where their presence makes a difference. In environments (workplaces, schools, families) that consciously affirm each person’s significance, both the individual and the group benefit: individuals gain a sense of purpose and commitment, and groups enjoy higher participation and loyalty. In summary, making sure people know they matter – that their existence and input are important – reinforces a shared sense of purpose and boosts overall well-being and engagement.","- https://www.tandfonline.com/doi/pdf/10.1080/13576500444000119 (Self & Identity (2004) validation of the mattering construct linking perceived significance to mental health and engagement)
- https://link.springer.com/article/10.1007/s10902-024-00720-3 (2024 meta-analysis showing stronger sense of mattering predicts higher well-being and motivation)"
Rest,Sustenance/Health,,"Smell something,Stare off,Play a video game,No Man's Sky,4-7-8 breathing,Legs up the wall,Floor starfish,Two-minute eye rest,Wrap in a blanket,Pillow nest",Overworked,rest,"Angry,Tired,Frustrated","Periodic disengagement and sleep can consolidate memory and repair biological systems. This need may motivate protecting sleep windows and creating low-demand intervals. Adequate rest sustains clarity, mood, and health.","Rest – especially quality sleep and regular breaks – is non-negotiable for a healthy mind and body. During sleep and true rest, our brains organize and solidify memories and our body performs critical maintenance like tissue repair and immune system regulation. The need for rest may drive behaviors such as setting aside enough hours for sleep, defending those sleep times from interruptions, and taking short daily pauses or days off where we aren’t under pressure to perform. Extensive medical research confirms that people who get sufficient sleep and downtime think more clearly, maintain better mood stability, and have stronger overall health (for example, chronic sleep deprivation is linked to concentration problems, irritability, and higher risk of illnesses like hypertension and depression). Protecting rest time – whether it’s a good night’s sleep or a relaxing afternoon off – ensures we can sustain our mental clarity, emotional balance, and physical well-being in the long run.","- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6281147/ (NIH summary: sleep is vital for memory consolidation, metabolic regulation, immune function, etc.)
- https://www.cdc.gov/sleep/about-sleep/how-much-sleep.html (CDC: adequate sleep improves mood, cognitive performance, and reduces health risks)"
Mutuality,Community/Belonging,,"Call a friend,Make a request in conversation,Ask for a pause,One kind text,Name one help to ask","Patronized,Used,Victimized",mutuality,"Angry,Frustrated,Resentful,Sad,Frightened,Helpless","Balanced exchange can prevent burnout and resentful feelings in ongoing relationships. This need may motivate negotiation of roles, explicit reciprocity, and rebalancing when loads shift. Mutuality maintains dignity and stability on all sides.","In any long-term relationship (personal or professional), both parties need to give and receive in a roughly balanced way to keep things healthy – if one side does all the giving and the other all the taking, it often leads to exhaustion or bitterness. The need for mutuality may drive people to negotiate and clarify roles (so one person isn’t unknowingly carrying more burden), to practice reciprocity (“I’ll help you this time, and I trust you’ll help me when I need it”), and to readjust arrangements when circumstances change (for example, if one partner gets sick, the other might take on more temporarily, with the understanding of mutual support). When relationships operate on mutuality – fair two-way exchange – everyone’s dignity is respected and the relationship stays stable and satisfying. Studies in social psychology find that perceived fairness and mutual support in a relationship correlate with higher trust and longevity of that relationship. In summary, mutuality ensures no one chronically feels exploited or drained; instead, all sides feel supported and valued, which sustains the bond over time.","- https://onlinelibrary.wiley.com/doi/abs/10.1111/pere.12051 (research on mutuality in long-term relationships: reciprocal support and balanced give-and-take linked to relationship satisfaction and lower burnout for caregivers)
- https://journals.sagepub.com/doi/pdf/10.1177/0149206305279602 (social exchange theory: relationships with balanced exchange of support have greater stability and equity)"
Relaxation,Sustenance/Health,,"Play a video game,No Man's Sky",Pressured,relaxation,"Anxious,Resentful,Overwhelmed","Deliberate down-shifting can restore cognitive flexibility and interpersonal patience. This need may motivate quiet leisure, gentle movement, and mind-uncluttering practices. Relaxation renews capacity for sustained effort.","Intentionally slowing down and engaging in relaxing activities is crucial for our mental flexibility and social patience. When we never pause, our minds and tempers can get brittle – but deliberate relaxation (like taking a quiet break, doing light exercise or yoga, meditating, hobbies, etc.) helps clear mental clutter and resets our capacity to think creatively and deal calmly with others. The need for relaxation may drive us to carve out leisure time, enjoy soothing or fun low-pressure activities, and practice techniques that calm the mind. Research suggests that even short relaxation exercises can restore cognitive functions like working memory and self-control that are depleted by stress. After truly relaxing, people often find they can sustain effort and concentration for longer periods again and are less irritable in their interactions. In essence, relaxation isn’t idleness – it’s a necessary renewal process. By regularly down-shifting from high gear, we actually improve our overall productivity and the quality of our engagements when we return to our tasks or relationships.","- https://www.frontiersin.org/articles/10.3389/fpsyg.2019.02146/full (study: brief relaxation techniques improved executive function and reduced stress, indicating cognitive benefits)
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4749015/ (clinical review showing relaxation techniques restore cognitive flexibility and reduce stress)"
Closeness,Love/Caring,,"Call a friend,Cuddle your favorite stuffed animal,Call a parent",Rejected,closeness,"Hurt,Scared,Angry,Defiant","Attachment theory and cross-cultural research identify emotionally attuned proximity as potentially protective for development and stress recovery. This need may motivate shared time, attentive presence, and mutual responsiveness. Closeness strengthens resilience through co-regulation and trust.","Psychologists (starting with attachment theory) have found that having someone emotionally in-tune and physically or emotionally close is a powerful buffer for stress and a boon for healthy development. In other words, feeling closely connected – for example through shared quality time, attentive listening, and responsive care – protects people (especially children) by helping them regulate their emotions with support from another person (a process called co-regulation). This need for closeness may drive us to seek warm, reliable relationships. Secure attachment in childhood is linked to better coping with fear and stress, and even in adults, social support from a loved one can calm the body’s stress responses. By cultivating closeness and trust, individuals become more resilient: they recover faster from adversity and gain confidence knowing someone “has their back.","- https://pmc.ncbi.nlm.nih.gov/articles/PMC4618716/ (Secure caregiver presence buffers children’s stress responses (HPA axis))
- https://pmc.ncbi.nlm.nih.gov/articles/PMC4021853/ (Meta-analysis: early attachment security predicts better peer competence)
- https://www.frontiersin.org/articles/10.3389/fpsyg.2018.01539/full (study showing emotionally supportive partners dampen stress responses and aid recovery)"
Authenticity,Authenticity,,"Play a video game,Write",Smothered/Suffocated,authenticity,"Frustrated,Fear,Desperation",Congruence between inner experience and outer behavior can support clarity and reduce social ambiguity. This need may motivate transparent communication and value-consistent choices. Respecting authenticity preserves self-coherence and dependable signaling in relationships.,"Living and interacting in a way that aligns with one’s true feelings and values (i.e. being authentic) provides clarity for oneself and others. When our outward behavior matches our inner experience, it minimizes confusion or mixed signals in social faux feelings. This need for authenticity may drive honest, transparent communication and decisions that reflect our core values. Psychological research suggests that people who act authentically tend to experience greater self-esteem and more satisfying relationships, likely because others can trust that their signals are genuine. In summary, honoring authenticity helps maintain personal integrity and ensures more dependable, clear interactions in relationships.","- https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01052/full (meta-analysis linking authenticity with higher self-esteem and relationship satisfaction)
- https://psycnet.apa.org/record/2006-06108-007 (research on how behaving in line with one’s true self reduces stress and confusion in social interactions)"
Self expression,Meaning/Contribution,,"Play an instrument,Write,Make art,Listen to music,No Man's Sky,Sing,Inanimate Interview,Scent Caption,Ambient Postcard",Smothered/Suffocated,self-expression,"Frustrated,Fear,Desperation","Externalizing inner experience can clarify thinking and support mutual understanding. This need may motivate writing, speaking, making, or otherwise communicating authentically. Expression integrates identity and connects people.","Humans have a strong need to express what’s inside of them – their thoughts, feelings, ideas – in some outward form. By putting inner experiences into external form (through language, art, music, movement, or any creative act), we often understand ourselves better and also enable others to understand us. This need for self-expression may drive people to journal or write, to speak up and share their perspective, to create art or projects that reflect their inner world, and generally to communicate in ways that feel true to themselves. Research suggests that such authentic expression can clarify one’s thinking and emotions (for instance, writing about a stressful experience often brings new insights and relief). Moreover, when we express ourselves and are heard or seen, it affirms our identity and builds bridges to other people – they can connect with the real “us.” In summary, self-expression is both an individual integrator (helping us make sense of who we are) and a social connector (allowing others to know us), making it a vital component of psychological well-being and interpersonal bonding.","- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367117/ (review showing expressive writing and art improve emotional processing and identity coherence)
- https://www.sciencedirect.com/science/article/pii/S2713374524000098 (research documenting how creative expression enhances insight and communication)"
Integrity,Autonomy/Freedom,,"Write,Translate a “should”,Micro boundary,Value compass card",Tricked,integrity,"Embarrassed,Angry,Resentful","Coherence between values and behavior can reduce internal conflict and external confusion. This need may motivate alignment, boundary maintenance, and principled action under pressure. Integrity supports self-respect and predictability for others.","Integrity means living by your principles – making sure that what you do reflects what you deeply believe is right. When people have integrity, they experience less inner turmoil (because they aren’t betraying their own values) and they avoid confusing those around them (because their behavior consistently matches their stated ideals). The need for integrity may drive individuals to align their decisions and actions with their core values, to maintain personal boundaries that prevent compromising those values, and to stick to ethics even when under pressure to do otherwise. This consistency can support self-respect (you can feel at peace with yourself) and makes one’s behavior more predictable and trustworthy to others. For example, a leader with integrity will act according to their professed mission and moral standards even in tough faux feelings, which earns them respect and makes it easier for others to anticipate their actions. In short, integrity is about wholeness of character – it ensures we are the same person in principle and practice, benefiting both our inner well-being and our relationships.","- https://doi.org/10.1521/jscp.2008.27.10.1078 (peer-reviewed analysis defining moral integrity as principled consistency linked to prosocial behavior)
- https://pmc.ncbi.nlm.nih.gov/articles/PMC8882060/ (open-access study showing ethical leadership builds follower trust and cohesive, high-performing teams)"
Empathy,Empathy/Understanding,,"View previous things you've written or made,Inanimate Interview","Unheard,Unloved",empathy,"Sad,Hostile,Frustrated,Bewildered","Accurately grasping another’s inner world can improve coordination and repair; some autistic people may prefer concrete language for this process. This need may motivate perspective-taking, reflective listening, and iterative checking for understanding. Practiced well, it reduces misinterpretation and supports relational alignment.","Empathy – the ability to understand and share what another person is feeling or thinking – is crucial for working smoothly with others and for fixing relationship problems. Being truly empathetic motivates us to put ourselves in others’ shoes, listen carefully to what they say, and double-check that we’re understanding them correctly. By doing so, we greatly cut down on misinterpretations and friction. For example, studies have found that teams with higher empathy and better communication have more cohesion and perform better because members anticipate each other’s needs and clarify potential confusion. (It’s worth noting that different people may need different approaches for empathy; for instance, some autistic individuals prefer very clear, concrete communication to feel understood.) In practice, cultivating empathy leads to better “relational alignment” – everyone feels heard and on the same page, which improves coordination and conflict resolution.","- https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1115402/full (study showing empathy and communication skills improve team coordination and performance)
- https://pmc.ncbi.nlm.nih.gov/articles/PMC4592359/ (review on how empathy supports prosocial responses that reduce conflict and misunderstanding in relationships)"
Privacy,Autonomy/Freedom,,Road trip,Violated,privacy,"Sad,Angry,Agitated,Anxiety","Periods of seclusion and control over information can protect autonomy and processing time. This need may motivate retreat, selective disclosure, and environmental boundaries. Privacy supports reflection, integration, and self-definition.","Privacy – having time and space to oneself and control over one’s personal information – is essential for maintaining a sense of autonomy and for mental processing. We need moments of seclusion, away from outside observation or demands, to reflect on our experiences, consolidate our thoughts, and simply recharge. This need for privacy may lead people to sometimes withdraw (e.g., closing the door, taking a solo walk), to share personal information selectively (choosing who knows what about one’s life), and to set up physical or digital boundaries (like curtains, passwords) that delineate a personal zone. Research suggests that such private downtime supports introspection and helps individuals integrate their experiences into a coherent sense of self. Additionally, feeling in control of one’s information (not constantly surveilled or exposed) has been linked to reduced stress and greater well-being. In summary, privacy gives individuals the protected space needed for self-definition and recovery, ultimately enabling them to engage with others more fully after emerging from that space.","- https://journals.kmanpub.com/index.php/jarac/article/view/3914 (study showing solitude fosters self-reflection that supports identity development)
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5579245/ (research on digital age privacy: control over personal information and the ability to be alone correlate with better stress regulation and autonomy)"
Order,Safety/Security,,"Clean something,Schedule your day,Parking-lot note,Calendar one thing,Mark a date on a calendar,Put it on paper,Align x3,Shadow Line,Corner Count,Nearest Job",,order,,"Structure and organization can reduce error and cognitive strain. This need may motivate sorting, sequencing, standardizing, and documenting. Order frees attention for creativity and nuanced thinking.","Having order – a sense of organized structure in our environment or tasks – helps us function with fewer errors and less mental effort. When things are sorted, in their proper sequence, standardized where appropriate, and documented clearly, we don’t waste brainpower trying to find things or figure out chaotic faux feelings. This need for order may drive us to tidy up, make checklists or schedules, establish routines, and write down procedures. By reducing clutter and unpredictability, orderliness actually increases our capacity for higher-level thinking: with basic details under control, our attention is “freed up” for creativity, problem-solving, or subtle analysis. Empirical studies have found that people in an organized setting tend to perform better on complex cognitive tasks and make more prudent decisions than those in a messy or unstructured setting (disorder imposes a cognitive tax). In summary, maintaining order mitigates unnecessary cognitive strain and distraction, providing a stable platform from which we can engage in more nuanced or inventive thinking.","- https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.2044-8279.1992.tb01017.x (Chandler &amp; Sweller, 1992: integrating structured information lowers extraneous cognitive load and errors)
- https://pubmed.ncbi.nlm.nih.gov/23907542/ (Vohs et al., 2013: tidy environments promote healthier, more self-controlled decisions relative to disorder)"
Beauty,Beauty/Peace/Play,,"Clean something,Go on walk,Play a video game,Read a poem you like aloud,Trace an object,Open the blinds,Shadow Line,Window Quarter,Scent Caption,Grain Trace",,beauty,,"Humans can be sensitive to pattern, harmony, and environmental cues associated with safety and resources. This need may motivate attending to nature, art, and design that promote orientation and calm. Investing in beauty improves attention, mood, and restorative experience.","Humans naturally respond to beauty – we’re attuned to patterns and harmony in our environment, which historically signaled things like safety or rich resources (for example, a lush, orderly landscape might promise food and shelter). As a result, we have a drive to seek out nature, art, and pleasing design that help us feel oriented and at ease. Psychology research confirms that exposure to beautiful natural settings can restore our ability to concentrate, lift our mood, and reduce stress hormones. In practice, “investing in beauty” – whether by spending time in nature or creating aesthetically pleasing spaces – tends to improve mental focus, promote calmness, and provide a restorative experience for our minds.","- https://www.sciencedirect.com/science/article/pii/S0013935118303323 (Canadian Psychological Association – nature exposure improves attention, mood, and stress recovery)
- https://journals.sagepub.com/doi/10.1177/0956797612464121 (study linking exposure to aesthetically pleasing natural environments with cognitive benefits and stress reduction)"
Control,Safety/Security,,"Play a video game,Road trip,Schedule your day,Sing,Align x3,Exit Count",,control,,"Influence over conditions can reduce threat and improve outcomes in uncertain environments. This need may motivate setting parameters, using contingency plans, and shaping contexts. Appropriate control promotes safety and effective agency.","Having some degree of control over our circumstances makes uncertainty less frightening and often leads to better results. We all have a need to feel we can influence what happens to us. This may drive us to set limits or rules, prepare backup plans (“if X, then Y”), and actively shape our surroundings rather than be passive. Studies on “locus of control” show that when people feel they have control over a situation, they experience less stress and perform better, whereas a lack of control can trigger threat responses (learned helplessness, etc.). By exerting appropriate control – not in an overbearing way but enough to steer key factors – individuals create safer conditions and can act more effectively. In summary, some control over one’s environment or outcomes bolsters a sense of security and enables more confident, purposeful action.","- https://onlinelibrary.wiley.com/doi/full/10.1002/ajhb.24147 (research on locus of control: having control or influence correlates with reduced stress and better task outcomes)
- https://systematicreviewsjournal.biomedcentral.com/articles/10.1186/2046-4053-2-30 (CDC commentary on how controlling one’s environment reduces perceived threats and fosters safety – related to public health contexts)
- https://www.cell.com/trends/cognitive-sciences/abstract/S1364-6613(10)00185-3 (Humans have an intrinsic need for control/choice: integrative review arguing that a sense of control and the opportunity to choose are fundamental, with neural, motivational, and affective benefits)
- https://www.annualreviews.org/content/journals/10.1146/annurev-clinpsy-021815-093006 (Controllability reduces stress responses (learned helplessness: modern account): authoritative review describing how experiencing controllable stress engages prefrontal circuits that inhibit stress responses while lack of control yields learned helplessness)
- https://psycnet.apa.org/record/1998-00299-016 (Sense of control buffers socioeconomic gradients in health: large population study showing higher perceived control is associated with better health and well-being, moderating SES differences)
- https://psycnet.apa.org/record/1996-01799-010 (Control beliefs taxonomy and functions: classic review clarifying perceived control, mastery, and self-efficacy, how they develop, and why they matter)
- https://www.jstor.org/stable/2392498?origin=crossref (Low job control + high demands → strain and ill-health (Demand–Control model): seminal evidence that decision latitude protects against strain and is foundational for occupational health research)
- https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(12)60994-5/fulltext (Job strain (including low control) predicts heart disease (meta-analysis): individual participant data meta-analysis linking job strain to increased coronary heart disease risk, highlighting the role of low control)
- https://psycnet.apa.org/record/2000-13324-007 (Autonomy as a basic psychological need (self-determination theory review): comprehensive review establishing autonomy as a basic need that fosters wellness and performance)
- https://psycnet.apa.org/record/1977-25733-001 (Self-efficacy (control over action) → motivation and change: foundational theory paper demonstrating that beliefs about one’s control over actions regulate motivation, affect, and behavior change)"
Predictability,Safety/Security,,"Schedule your day,Calendar one thing,Exit Count,Corner Count",,predictability,,"Reliable patterns can make planning possible and reduce vigilance. This need may motivate clear schedules, transparent protocols, and advance notice of change. Predictability stabilizes attention and performance.","People feel more at ease and can concentrate better when their environment and schedule are predictable. Knowing what to expect – having reliable patterns – means we don’t have to be on high alert all the time, and we can plan our actions with confidence. The need for predictability may drive us to create clear timetables, establish transparent procedures or rules, and give advance warnings before changes happen. For example, a workplace that communicates its schedule and any upcoming shifts well in advance allows employees to focus on their tasks instead of worrying about surprises. Research in stress psychology confirms that unpredictability is a significant stressor (uncertain faux feelings make our brains more vigilant and anxious), whereas predictable contexts lower baseline stress and improve cognitive performance. Thus, predictability in our routines and systems provides a stable backdrop that steadies attention and supports consistent performance.","- https://www.frontiersin.org/articles/10.3389/fpsyg.2017.01466/full (study demonstrating that unpredictable contexts heighten stress while predictable routines lower vigilance)
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5774415/ (stress physiology review showing predictable schedules calm anxiety and support focus)"
Accomplishment,Meaning/Contribution,,"Clean something,Play a video game,Crunch the numbers,Make art,Make a list and check things off",,accomplishment,"Frustrated,Sad,Disappointment,Powerless","Mastery and efficacy can be intrinsically rewarding and have clear adaptive value in variable environments. This need may motivate goal formation, deliberate practice, and tracking progress. Honoring accomplishment channels effort into competence that benefits both the individual and the group.","Humans are driven to achieve mastery in skills and tasks – accomplishing goals and feeling effective is inherently satisfying and also advantageous for survival in changing environments. This need for achievement may lead people to set goals, engage in focused practice, and measure their progress. Psychological studies on intrinsic motivation confirm that developing competence (becoming skilled and effective) is rewarding in itself and encourages ongoing effort. By pursuing and recognizing accomplishments, individuals build valuable skills that not only enhance their own capabilities but also contribute to group success (e.g., a well-practiced skill can be shared or used to aid the community). In short, valuing accomplishment helps channel effort into growing one’s competence, yielding benefits for both the person and those around them.","- https://pubmed.ncbi.nlm.nih.gov/11392867/ (Self-determination theory research: competence/mastery as a basic psychological need)
- https://pmc.ncbi.nlm.nih.gov/articles/PMC5364176/ (review on intrinsic reward of mastery and skill development)"
Physical Fitness,Sustenance/Health,,Reduce Mental Tasks,,physical-fitness,"Distressed,Sad","Capacity for movement can underpin health, safety, and daily functioning. This need may motivate activity, strength and endurance practices, and balanced recovery. Fitness supports mood, cognition, and independence.","Humans have a basic need to stay physically fit – to be capable of movement and exertion – because it is fundamental to health and everyday living. This need may drive us to engage in physical activities: practices that build strength, endurance, flexibility, as well as to incorporate rest and recovery for balance. A good level of fitness boosts our mood (exercise is known to release endorphins and reduce anxiety), enhances cognitive function (fit individuals often have better memory and executive function), and helps maintain independence as we age (by preventing frailty and reducing injury risk). Public health research indicates that regular physical activity is associated with numerous benefits: from improved safety (stronger muscles can prevent falls, for example) to better management of chronic conditions and sharper mental performance. In short, tending to our physical fitness needs keeps our bodies and minds in shape, enabling us to navigate daily tasks safely and enjoy a higher quality of life.","- https://pmc.ncbi.nlm.nih.gov/articles/PMC4451435/ (large pooled analysis showing regular leisure-time physical activity lowers disease risk and supports overall health)
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/ (study linking physical fitness with better brain health and functional independence in older adults)"
